journal_name,pub_name,journal_id,price,price_date_stamp,category
Journal of Neuroinflammation,Biomed Central,1742-2094,2450,2016-08-11,NEUROSCIENCE
Journal of Pharmaceutical Health Care and Sciences,BioMed Central,2055-0294,2220,2016-08-11,NA
Journal of Physiological Anthropology,BioMed Central,1880-6805,1565,2016-08-11,NA
Journal of Translational Medicine,Biomed Central,1479-5876,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,Self Owned - Non-Profit Society,1678-9199,2145,2016-08-11,INFECTIOUS DISEASES
MALARIA JOURNAL,Biomed Central,1475-2875,2240,2016-08-11,INFECTIOUS DISEASES
Microbiome,BioMed Central,2049-2618,2450,2016-08-11,NA
Mobile DNA,BioMed Central Ltd,1759-8753,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Molecular Brain,BioMed Central Ltd,1756-6606,1980,2016-08-11,NEUROSCIENCE
Molecular Cancer,Biomed Central,1476-4598,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Molecular Cytogenetics,BioMed Central Ltd,1755-8166,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Molecular Neurodegeneration,Biomed Central,1750-1326,2580,2016-08-11,NEUROSCIENCE
Neural Development,Biomed Central,1749-8104,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Parasites & Vectors,Biomed Central,1756-3305,2145,2016-08-11,INFECTIOUS DISEASES
PARTICLE AND FIBRE TOXICOLOGY,Biomed Central,1743-8977,2145,2016-08-11,ENVIRONMENTAL HEALTH
Radiation Oncology,BioMed Central,1748-717X,2145,2016-08-11,NA
Retrovirology,Biomed Central,1742-4690,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
THEORETICAL BIOLOGY AND MEDICAL MODELLING,Biomed Central,1742-4682,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Translational Neurodegeneration,BioMed Central,2047-9158,2145,2016-08-11,NA
Virology Journal,Biomed Central,1743-422X,2145,2016-08-11,INFECTIOUS DISEASES
Biotechnology for Biofuels,Biomed Central,1754-6834,2450,2016-08-11,NA
BMC BIOTECHNOLOGY,Biomed Central,1472-6750,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Journal of Nanobiotechnology,BioMed Central Ltd,1477-3155,2145,2016-08-11,PHYSICS AND CHEMISTRY
Microbial Cell Factories,Biomed Central,1475-2859,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Oral Health,BMC-Springer,1472-6831,2145,2016-08-11,DENTISTRY
BMC MEDICAL EDUCATION,Biomed Central,1472-6920,2145,2016-08-11,MEDICINE
Biomedical Engineering Online,Biomed Central,1475-925X,2145,2016-08-11,SPORTS MEDICINE
Journal of Biological Engineering,BioMed Central Ltd,1754-1611,2240,2016-08-11,NA
Environmental Evidence,BioMed Central,2047-2382,2300,2016-08-11,NA
Environmental Health,Biomed Central,1476-069X,2220,2016-08-11,ENVIRONMENTAL HEALTH
Marine Biodiversity Records,BioMed Central,1755-2672,1175,2016-08-11,NA
Agriculture & Food Security,BioMed Central,2048-7010,2450,2016-08-11,NA
Algorithms for Molecular Biology,Biomed Central,1748-7188,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Animal Biotelemetry,BioMed Central,2050-3385,2450,2016-08-11,NA
Avian Research,BioMed Central,2053-7166,0,2016-08-11,NA
BioData Mining,BioMed Central Ltd,1756-0381,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Biological Research,Chilean Biology Society,0717-6287,2240,2016-08-11,NA
Biology Direct,Biomed Central,1745-6150,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Biochemistry,BMC-Springer,1471-2091,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC BIOINFORMATICS,Biomed Central,1471-2105,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC BIOLOGY,Biomed Central,1741-7007,2785,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC CELL BIOLOGY,Biomed Central,1471-2121,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC DEVELOPMENTAL BIOLOGY,Biomed Central,1471-213X,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Ecology,BioMed Central Ltd,1472-6785,2145,2016-08-11,NA
BMC EVOLUTIONARY BIOLOGY,Biomed Central,1471-2148,2145,2016-08-11,ECOLOGY AND EVOLUTION
BMC GENETICS,Biomed Central,1471-2156,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC GENOMICS,Biomed Central,1471-2164,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC MICROBIOLOGY,Biomed Central,1471-2180,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC MOLECULAR BIOLOGY,Biomed Central,1471-2199,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC PLANT BIOLOGY,Biomed Central,1471-2229,2145,2016-08-11,PLANT BIOLOGY
BMC STRUCTURAL BIOLOGY,Biomed Central,1472-6807,2145,2016-08-11,NA
BMC Systems Biology,Biomed Central,1752-0509,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Zoology,BioMed Central,2056-3132,2145,2016-08-11,NA
Canine Genetics and Epidemiology,BioMed Central,2052-6687,2145,2016-08-11,NA
Cell & Bioscience,BioMed Central Ltd,2045-3701,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Cell Communication and Signaling,BioMed Central Ltd,1478-811X,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
CELL DIVISION,Biomed Central,1747-1028,2300,2016-08-11,MOLECULAR AND CELL BIOLOGY
Cell Regeneration,BioMed Central,2045-9769,0,2016-08-11,NA
Cellular & Molecular Biology Letters,BioMed Central,1689-1392,2615,2016-08-11,NA
Cerebellum & Ataxias,BioMed Central,2053-8871,2145,2016-08-11,NA
Cilia,BioMed Central,2046-2530,2450,2016-08-11,NA
Climate Change Responses,BioMed Central,2053-7565,2145,2016-08-11,NA
Clinical Proteomics,BioMed Central Ltd,1559-0275,2145,2016-08-11,NA
EPIGENETICS & CHROMATIN,Biomed Central,1756-8935,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
EvoDevo,BioMed Central Ltd,2041-9139,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
ExRNA,BioMed Central,2398-0060,0,2016-08-11,NA
Fisheries and Aquatic Sciences,BioMed Central,2234-1757,2145,2016-08-11,NA
FRONTIERS IN ZOOLOGY,Biomed Central,1742-9994,2365,2016-08-11,ECOLOGY AND EVOLUTION
Fungal Biology and Biotechnology,BioMed Central,2054-3085,2145,2016-08-11,NA
GENETICS SELECTION EVOLUTION,EDP Sciences,1297-9686,1800,2016-08-11,NA
Genome Biology,BioMed Central,1474-760X,2975,2016-08-11,MOLECULAR AND CELL BIOLOGY
GigaScience,BioMed Central,2047-217X,2050,2016-08-11,NA
Helgoland Marine Research,BioMed Central,1438-3888,0,2016-08-11,NA
HEREDITAS,Wiley Blackwell,1601-5223,2145,2016-08-11,NA
Journal of Animal Science and Technology,BioMed Central,2055-0391,0,2016-08-11,NA
Journal of Biological Research-Thessaloniki,BioMed Central,2241-5793,2365,2016-08-11,NA
Lipids in Health and Disease,Biomed Central,1476-511X,2145,2016-08-11,MEDICINE
Movement Ecology,BioMed Central,2051-3933,2145,2016-08-11,NA
Plant Methods,Biomed Central,1746-4811,2240,2016-08-11,PLANT BIOLOGY
Proteome Science,Self Owned - Non-Profit Society,1477-5956,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Revista Chilena de Historia Natural,BioMed Central,0717-6317,1760,2016-08-11,NA
Skeletal Muscle,BioMed Central Ltd,2044-5040,2450,2016-08-11,NA
Source Code for Biology and Medicine,BioMed Central Ltd,1751-0473,2145,2016-08-11,NA
Standards in Genomic Sciences,BioMed Central,1944-3277,2145,2016-08-11,NA
Stem Cell Research & Therapy,BioMed Central Ltd,1757-6512,2175,2016-08-11,MOLECULAR AND CELL BIOLOGY
Zoological Letters,BioMed Central,2056-306X,0,2016-08-11,NA
Biomaterials Research,BioMed Central,2055-7124,1890,2016-08-11,NA
Big Data Analytics,BioMed Central,2058-6345,2145,2016-08-11,NA
Journal of Biomedical Semantics,BioMed Central Ltd,2041-1480,2145,2016-08-11,NA
ACTA VETERINARIA SCANDINAVICA,Biomed Central,1751-0147,2365,2016-08-11,NA
Addiction Science & Clinical Practice,BioMed Central,1940-0640,2145,2016-08-11,NA
Advances in Simulation,BioMed Central,2059-0628,2145,2016-08-11,NA
AIDS Research and Therapy,BioMed Central Ltd,1742-6405,2300,2016-08-11,INFECTIOUS DISEASES
Allergy  Asthma & Clinical Immunology,BioMed Central Ltd,1710-1492,2145,2016-08-11,NA
Annals of General Psychiatry,BioMed Central Ltd,1744-859X,2450,2016-08-11,PSYCHIATRY
Annals of Occupational and Environmental Medicine,BioMed Central,2052-4374,1975,2016-08-11,NA
Applied Cancer Research,BioMed Central,1980-5578,0,2016-08-11,NA
Archives of Public Health,BioMed Central,2049-3258,2145,2016-08-11,NA
Arthritis Research & Therapy,BioMed Central,1478-6362,2740,2016-08-11,RHEUMATOLOGY
Asia Pacific Family Medicine,BioMed Central Ltd,1447-056X,2145,2016-08-11,NA
Asthma Research and Practice,BioMed Central,2054-7064,2145,2016-08-11,NA
Basic and Clinical Andrology,BioMed Central,2051-4190,2145,2016-08-11,NA
BioPsychoSocial Medicine,BioMed Central Ltd,1751-0759,2145,2016-08-11,NA
BMC Anesthesiology,BioMed Central Ltd,1471-2253,2145,2016-08-11,MEDICINE
BMC CARDIOVASCULAR DISORDERS,Biomed Central,1471-2261,2145,2016-08-11,MEDICINE
BMC Clinical Pathology,BioMed Central Ltd,1472-6890,2145,2016-08-11,NA
BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,Biomed Central,1472-6882,2145,2016-08-11,FOOD SCIENCE
BMC Dermatology,BioMed Central Ltd,1471-5945,2145,2016-08-11,NA
BMC Ear  Nose and Throat Disorders,BioMed Central Ltd,1472-6815,2145,2016-08-11,NA
BMC Emergency Medicine,BioMed Central Ltd,1471-227X,2145,2016-08-11,NA
BMC Endocrine Disorders,BMC-Springer,1472-6823,2145,2016-08-11,MEDICINE
BMC Family Practice,Biomed Central,1471-2296,2145,2016-08-11,MEDICINE
BMC GASTROENTEROLOGY,Biomed Central,1471-230X,2145,2016-08-11,GASTROENTEROLOGY
BMC Geriatrics,BMC-Springer,1471-2318,2145,2016-08-11,MEDICINE
BMC HEALTH SERVICES RESEARCH,Biomed Central,1472-6963,2145,2016-08-11,MEDICINE
BMC Hematology,BioMed Central,2052-1839,2145,2016-08-11,NA
BMC INFECTIOUS DISEASES,Biomed Central,1471-2334,2145,2016-08-11,INFECTIOUS DISEASES
BMC International Health and Human Rights,BMC-Springer,1472-698X,2145,2016-08-11,MEDICINE
BMC Medical Imaging,BioMed Central Ltd,1471-2342,2145,2016-08-11,RADIOLOGY
BMC Medical Informatics and Decision Making,Biomed Central,1472-6947,2145,2016-08-11,MEDICINE
BMC Medical Research Methodology,Biomed Central,1471-2288,2145,2016-08-11,MEDICINE
BMC Medicine,Biomed Central,1741-7015,2785,2016-08-11,MEDICINE
BMC MUSCULOSKELETAL DISORDERS,Biomed Central,1471-2474,2145,2016-08-11,ORTHOPEDICS
BMC NEPHROLOGY,Biomed Central,1471-2369,2145,2016-08-11,NEPHROLOGY
BMC Neurology,Biomed Central,1471-2377,2145,2016-08-11,NEUROSCIENCE
BMC Nursing,BioMed Central Ltd,1472-6955,2145,2016-08-11,NA
BMC Nutrition,BioMed Central,2055-0928,2145,2016-08-11,NA
BMC Obesity,BioMed Central,2052-9538,2145,2016-08-11,NA
BMC OPHTHALMOLOGY,Biomed Central,1471-2415,2145,2016-08-11,OPHTHALMOLOGY
BMC Palliative Care,BMC-Springer,1472-684X,2145,2016-08-11,MEDICINE
BMC PEDIATRICS,Biomed Central,1471-2431,2145,2016-08-11,MEDICINE
BMC Pregnancy and Childbirth,BMC-Springer,1471-2393,2145,2016-08-11,MEDICINE
BMC Psychiatry,Biomed Central,1471-244X,2145,2016-08-11,PSYCHIATRY
BMC PUBLIC HEALTH,Biomed Central,1471-2458,2145,2016-08-11,MEDICINE
BMC Pulmonary Medicine,BMC-Springer,1471-2466,2145,2016-08-11,MEDICINE
BMC Sports Science Medicine and Rehabilitation,BioMed Central,2052-1847,2145,2016-08-11,NA
BMC Surgery,BMC-Springer,1471-2482,2145,2016-08-11,GASTROENTEROLOGY
BMC Urology,BMC-Springer,1471-2490,2145,2016-08-11,UROLOGY
BMC VETERINARY RESEARCH,Biomed Central,1746-6148,2145,2016-08-11,VETERINARY
BMC Womens Health,BMC-Springer,1472-6874,2145,2016-08-11,MEDICINE
Borderline Personality Disorder and Emotion Dysregulation,BioMed Central,2051-6673,0,2016-08-11,NA
Burns & Trauma,BioMed Central,2321-3876,0,2016-08-11,NA
Cancer Imaging,BioMed Central,1470-7330,2145,2016-08-11,RADIOLOGY
Cancers of the Head & Neck,BioMed Central,2059-7347,2145,2016-08-11,NA
Cardio-Oncology,BioMed Central,2057-3804,2075,2016-08-11,NA
Cardiovascular Diabetology,Biomed Central,1475-2840,2410,2016-08-11,MEDICINE
CARDIOVASCULAR ULTRASOUND,Biomed Central,1476-7120,2145,2016-08-11,MEDICINE
Child and Adolescent Psychiatry and Mental Health,BioMed Central Ltd,1753-2000,2145,2016-08-11,NA
Chinese Medicine,BioMed Central Ltd,1749-8546,2145,2016-08-11,FOOD SCIENCE
Chinese Neurosurgical Journal,BioMed Central,2057-4967,0,2016-08-11,NA
Clinical and Molecular Allergy,BioMed Central Ltd,1476-7961,2145,2016-08-11,NA
Clinical and Translational Allergy,BioMed Central Ltd,2045-7022,2300,2016-08-11,NA
Clinical Diabetes and Endocrinology,BioMed Central,2055-8260,2145,2016-08-11,NA
Clinical Hypertension,BioMed Central,2056-5909,0,2016-08-11,NA
Conflict and Health,BioMed Central Ltd,1752-1505,2145,2016-08-11,NA
Contraception and Reproductive Medicine,BioMed Central,2055-7426,2145,2016-08-11,NA
COPD Research and Practice,BioMed Central,2054-9040,2145,2016-08-11,NA
Cost Effectiveness and Resource Allocation,BioMed Central Ltd,1478-7547,2145,2016-08-11,NA
Critical Care,BioMed Central Ltd,1364-8535,2740,2016-08-11,NA
Diabetology & Metabolic Syndrome,Biomed Central,1758-5996,2220,2016-08-11,MEDICINE
Diagnostic and Prognostic Research,BioMed Central,2397-7523,2145,2016-08-11,NA
Diagnostic Pathology,Biomed Central,1746-1596,2145,2016-08-11,ONCOLOGY
Disaster and Military Medicine,BioMed Central,2054-314X,2145,2016-08-11,NA
Emerging Themes in Epidemiology,BioMed Central Ltd,1742-7622,2145,2016-08-11,NA
European Journal of Medical Research,BioMed Central,2047-783X,2450,2016-08-11,NA
European Review of Aging and Physical Activity,BioMed Central,1861-6909,2145,2016-08-11,NA
Experimental Hematology & Oncology,BioMed Central,2162-3619,2580,2016-08-11,NA
Eye and Vision,BioMed Central,2326-0254,0,2016-08-11,NA
Fertility Research and Practice,BioMed Central,2054-7099,2145,2016-08-11,NA
Fibrogenesis & Tissue Repair,BioMed Central Ltd,1755-1536,2450,2016-08-11,NA
Global Health Research and Policy,BioMed Central,2397-0642,0,2016-08-11,NA
Globalization and Health,London School of Economics,1744-8603,2145,2016-08-11,MEDICINE
Gut Pathogens,Biomed Central,1757-4749,2410,2016-08-11,MOLECULAR AND CELL BIOLOGY
Gynecologic Oncology Research and Practice,BioMed Central,2053-6844,2145,2016-08-11,NA
HARM REDUCTION JOURNAL,Biomed Central,1477-7517,2450,2016-08-11,PSYCHIATRY
Head & Face Medicine,BioMed Central Ltd,1746-160X,2145,2016-08-11,DENTISTRY
Health and Quality of Life Outcomes,Biomed Central,1477-7525,2145,2016-08-11,MEDICINE
Health Information Science and Systems,BioMed Central,2047-2501,2145,2016-08-11,NA
Health Research Policy and Systems,BioMed Central Ltd,1478-4505,2300,2016-08-11,MEDICINE
Hepatology Medicine and Policy,BioMed Central,2059-5166,2145,2016-08-11,NA
HUMAN RESOURCES FOR HEALTH,Biomed Central,1478-4491,2450,2016-08-11,MEDICINE
Implementation Science,Biomed Central,1748-5908,2365,2016-08-11,MEDICINE
Infectious Diseases of Poverty,BioMed Central,2049-9957,2145,2016-08-11,NA
International Breastfeeding Journal,BioMed Central Ltd,1746-4358,1940,2016-08-11,NA
INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,Biomed Central,1475-9276,2220,2016-08-11,MEDICINE
International Journal of Behavioral Nutrition and Physical Activity,Biomed Central,1479-5868,2580,2016-08-11,MEDICINE
International Journal of Health Geographics,Biomed Central,1476-072X,2145,2016-08-11,MEDICINE
International Journal of Mental Health Systems,BioMed Central Ltd,1752-4458,2145,2016-08-11,PSYCHIATRY
International Journal of Pediatric Endocrinology,BioMed Central Ltd,1687-9856,2145,2016-08-11,NA
International Journal of Retina and Vitreous,BioMed Central,2056-9920,0,2016-08-11,NA
Irish Veterinary Journal,BioMed Central Ltd,2046-0481,2145,2016-08-11,NA
Israel Journal of Health Policy Research,BioMed Central,2045-4015,0,2016-08-11,MEDICINE
Italian Journal of Pediatrics,BioMed Central Ltd,1824-7288,2145,2016-08-11,NA
Journal for ImmunoTherapy of Cancer,BioMed Central,2051-1426,2410,2016-08-11,NA
Journal of Cardiothoracic Surgery,Biomed Central,1749-8090,2175,2016-08-11,MEDICINE
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,Biomed Central,1532-429X,2145,2016-08-11,NA
Journal of Clinical Movement Disorders,BioMed Central,2054-7072,2145,2016-08-11,NA
Journal of Compassionate Health Care,BioMed Central,2053-2393,2145,2016-08-11,NA
Journal of Congenital Cardiology,BioMed Central,2056-7251,2145,2016-08-11,NA
Journal of Ethnobiology and Ethnomedicine,BioMed Central Ltd,1746-4269,1940,2016-08-11,FOOD SCIENCE
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,Biomed Central,1756-9966,2220,2016-08-11,ONCOLOGY
Journal of Foot and Ankle Research,Biomed Central,1757-1146,2145,2016-08-11,SPORTS MEDICINE
JOURNAL OF HEALTH POPULATION AND NUTRITION,I C D D R B-CENTRE HEALTH POPULATION RESEARCH,2072-1315,2145,2016-08-11,NA
Journal of Hematology & Oncology,Biomed Central,1756-8722,2580,2016-08-11,MOLECULAR AND CELL BIOLOGY
Journal of Intensive Care,BioMed Central,2052-0492,0,2016-08-11,NA
Journal of Medical Case Reports,BioMed Central Ltd,1752-1947,1120,2016-08-11,NA
Journal of Molecular Psychiatry,BioMed Central,2049-9256,2145,2016-08-11,NA
Journal of Occupational Medicine and Toxicology,BioMed Central Ltd,1745-6673,2260,2016-08-11,ENVIRONMENTAL HEALTH
Journal of Orthopaedic Surgery and Research,BioMed Central Ltd,1749-799X,2450,2016-08-11,ORTHOPEDICS
Journal of Otolaryngology - Head & Neck Surgery,BioMed Central,1916-0216,2145,2016-08-11,NA
Journal of Ovarian Research,Biomed Central,1757-2215,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION,Biomed Central,1550-2783,2145,2016-08-11,SPORTS MEDICINE
Journal of Therapeutic Ultrasound,BioMed Central,2050-5736,0,2016-08-11,NA
Kidney Disease and Transplantation,BioMed Central,2058-511X,0,2016-08-11,NA
Maternal Health Neonatology and Perinatology,BioMed Central,2054-958X,2145,2016-08-11,NA
Military Medical Research,BioMed Central,2054-9369,0,2016-08-11,NA
Molecular Autism,BioMed Central Ltd,2040-2392,2145,2016-08-11,NEUROSCIENCE
Multidisciplinary Respiratory Medicine,BioMed Central,2049-6958,2145,2016-08-11,NA
Multiple Sclerosis and Demyelinating Disorders,BioMed Central,2056-6115,2145,2016-08-11,NA
Neuropsychiatric Electrophysiology,BioMed Central,2055-4788,2145,2016-08-11,NA
Neurovascular Imaging,BioMed Central,2055-5792,2145,2016-08-11,NA
Nutrire,BioMed Central,2316-7874,0,2016-08-11,NA
Nutrition & Metabolism,Biomed Central,1743-7075,2240,2016-08-11,MEDICINE
NUTRITION JOURNAL,Biomed Central,1475-2891,2300,2016-08-11,MEDICINE
Orphanet Journal of Rare Diseases,Biomed Central,1750-1172,2365,2016-08-11,MOLECULAR AND CELL BIOLOGY
Patient Safety in Surgery,BioMed Central Ltd,1754-9493,2145,2016-08-11,NA
Pediatric Rheumatology,BioMed Central Ltd,1546-0096,2145,2016-08-11,RHEUMATOLOGY
Perioperative Medicine,BioMed Central,2047-0525,2450,2016-08-11,NA
Pilot and Feasibility Studies,BioMed Central,2055-5784,2450,2016-08-11,NA
Pneumonia,BioMed Central,2200-6133,2145,2016-08-11,NA
Population Health Metrics,BioMed Central Ltd,1478-7954,2145,2016-08-11,MEDICINE
Porcine Health Management,BioMed Central,2055-5660,2145,2016-08-11,NA
Public Health Reviews,BioMed Central,2107-6952,2145,2016-08-11,NA
Renal Replacement Therapy,BioMed Central,2059-1381,0,2016-08-11,NA
Reproductive Biology and Endocrinology,Biomed Central,1477-7827,2145,2016-08-11,MEDICINE
Reproductive Health,BioMed Central Ltd,1742-4755,2145,2016-08-11,MEDICINE
Research Involvement and Engagement,BioMed Central,2056-7529,2450,2016-08-11,NA
Respiratory Research,BioMed Central,1465-993X,2525,2016-08-11,NA
Safety in Health,BioMed Central,2056-5917,2145,2016-08-11,NA
SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION & EMERGENCY MEDICINE,Biomed Central,1757-7241,2325,2016-08-11,MEDICINE
Scoliosis and Spinal Disorders,BioMed Central,2397-1789,2145,2016-08-11,NA
Sleep Science and Practice,BioMed Central,2398-2683,2145,2016-08-11,NA
Substance Abuse Treatment Prevention and Policy,Biomed Central,1747-597X,1940,2016-08-11,PSYCHIATRY
Systematic Reviews,BioMed Central,2046-4053,2450,2016-08-11,NA
Thrombosis Journal,BioMed Central Ltd,1477-9560,2145,2016-08-11,NA
Thyroid Research,BioMed Central Ltd,1756-6614,2145,2016-08-11,NA
Tobacco Induced Diseases,BioMed Central Ltd,1617-9625,2145,2016-08-11,MEDICINE
Translational Medicine Communications,BioMed Central,2396-832X,2145,2016-08-11,NA
Transplantation Research,BioMed Central,2047-1440,2450,2016-08-11,NA
Trials,Biomed Central,1745-6215,2145,2016-08-11,MEDICINE
Tropical Diseases Travel Medicine and Vaccines,BioMed Central,2055-0936,2145,2016-08-11,NA
Tropical Medicine and Health,BioMed Central,1349-4147,1105,2016-08-11,NA
Vascular Cell,BioMed Central Ltd,2045-824X,2145,2016-08-11,NA
VETERINARY RESEARCH,Biomed Central,1297-9716,1800,2016-08-11,NA
Women's Midlife Health,BioMed Central,2054-2690,2145,2016-08-11,NA
World Allergy Organization Journal,BioMed Central,1939-4551,2300,2016-08-11,NA
World Journal of Emergency Surgery,BioMed Central Ltd,1749-7922,2145,2016-08-11,GASTROENTEROLOGY
WORLD JOURNAL OF SURGICAL ONCOLOGY,Biomed Central,1477-7819,2580,2016-08-11,ONCOLOGY
Journal of Pharmaceutical Policy and Practice,BioMed Central,2052-3211,2240,2016-08-11,NA
BMC Medical Ethics,BMC-Springer,1472-6939,2145,2016-08-11,MEDICINE
Philosophy  Ethics  and Humanities in Medicine,BioMed Central Ltd,1747-5341,2145,2016-08-11,NA
Research Integrity and Peer Review,BioMed Central,2058-8615,2145,2016-08-11,NA
BMC Biophysics,BMC-Springer,2046-1682,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Psychology,BioMed Central,2050-7283,2145,2016-08-11,NA
Journal of Eating Disorders,BioMed Central,2050-2974,2145,2016-08-11,NA
Alcohol,Elsevier,0741-8329,2500,2016-08-11,NEUROSCIENCE
Ampersand,Elsevier,2215-0390,1000,2016-08-11,NA
Anaerobe,Elsevier,1075-9964,1750,2016-08-11,INFECTIOUS DISEASES
Anthropocene,Elsevier,2213-3054,2500,2016-08-11,NA
Appetite,Elsevier,0195-6663,2600,2016-08-11,MEDICINE
Aquaculture,Elsevier,0044-8486,3600,2016-08-11,ECOLOGY AND EVOLUTION
