Domain_English,Field_English,SubField_English,1.01 SEQ,Source_title,issn,essn,smsid,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Revista Brasileira de fruticultura,0100-2945,,115595,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Revista brasileira de sementes = Brazilian seed journal,0101-3122,,103630,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Rostlinna Vyroba,0370-663X,,107625,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Rural Eco-Environment,1001-5906,,122539,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Scientia agricola,0103-9016,,111530,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Semina-Ciencias Agrarias,1676-546X,,142618,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil & Tillage Research,0167-1987,,107479,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil Biology & Biochemistry,0038-0717,,110238,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil Science,0038-075X,1538-9243,115070,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil Science & Plant Nutrition,0038-0768,1747-0765,109076,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil Science Society of America journal. Soil Science Society of America,0361-5995,,100618,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Soil Use and Management,0266-0032,1475-2743,119599,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,South African Journal of Plant and Soil,0257-1862,,129579,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Spanish journal of agricultural research = Revista de investigacion agraria,1695-971X,,106112,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Swedish Journal of Agricultural Research,0049-2701,,117665,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,The Journal of Agricultural Science,0021-8596,1469-5146,119563,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Transactions of the ASAE. American Society of Agricultural Engineers,0001-2351,,112738,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Tropical Agriculture,0041-3216,,100721,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Tropical Grasslands,0049-4763,,108973,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Tropical Science,0041-3291,1556-9179,102554,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Turk Tarim ve Ormancilik Dergisi/Turkish Journal of Agriculture and Forestry,1300-011X,1303-6173,113427,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Weed Biology and Management,1444-6162,1445-6664,108793,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Weed Research,0043-1737,1365-3180,101914,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Weed Science,0043-1745,1550-2759,100011,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Weed Technology,0890-037X,1550-2740,112796,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban",1001-9332,,127100,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Acta Agriculturae Scandinavica A - Animal Sciences,0906-4702,1651-1972,101389,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Agrarforschung,1022-663X,,141171,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal : an international journal of animal bioscience,1751-7311,1751-732X,102199,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal Feed Science and Technology,0377-8401,,109005,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal Genetics,0268-9146,1365-2052,107923,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal Reproduction Science,0378-4320,,110150,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal Research,1627-3583,1627-3591,103733,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,"Animal science (Penicuik, Scotland)",1357-7298,,109246,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Animal Science Journal,1344-3941,1740-0929,113030,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Annales de Zootechnie,0003-424X,,132420,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Archiv für Geflugelkunde,0003-9098,,104016,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Archiv fur Tierzucht,0003-9438,,102943,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Archives of Animal Nutrition,1745-039X,1477-2817,102002,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Arquivo brasileiro de medicina veterinaria e zootecnia,0102-0935,1678-4162,104111,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Asian-Australasian journal of animal sciences,1011-2367,,114156,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Australian Journal of Dairy Technology,0004-9433,,101316,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Avian and Poultry Biology Reviews,1470-2061,,105002,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,British Poultry Science,0007-1668,1466-1799,108754,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Canadian Journal of Animal Science,0008-3984,,108999,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Cell Preservation Technology,1538-344X,1557-8119,108910,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Cuban Journal of Agricultural Science,0864-0408,,110896,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Czech Journal of Animal Science,1212-1819,,106255,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Dairy Industries International,0308-8197,,102226,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Dairy Science & Technology,1958-5586,1958-5594,116791,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Domestic Animal Endocrinology,0739-7240,,115384,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Fleischwirtschaft,0015-363X,,133285,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Genetics Selection Evolution,0999-193X,1297-9686,116199,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,International Dairy Journal,0958-6946,,108241,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,International Journal of Dairy Science,1811-9743,1811-9751,124335,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,International Journal of Dairy Technology,1364-727X,1471-0307,101695,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,International journal of poultry science,1682-8356,,103135,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,International Journal of Sheep and Wool Science,1832-8679,,107665,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Irish Journal of Agricultural and Food Research,0791-6833,,102303,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Italian journal of animal science,1594-4077,1828-051X,101951,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of animal and feed sciences,1230-1388,,113882,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of animal and veterinary advances : JAVA,1680-5593,,104693,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Animal Breeding and Genetics,0931-2668,1439-0388,109753,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,"Journal of Animal Breeding and Genetics, Supplement",1742-4488,,106692,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Animal Physiology and Nutrition,0931-2439,1439-0396,118751,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Animal Science,0021-8812,1525-3163,103149,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of applied animal research,0971-2119,,105047,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Applied Poultry Research,1056-6171,1537-0437,109628,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Dairy Science,0022-0302,1525-3198,111700,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Journal of Muscle Foods,1046-0756,,106601,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Kieler Milchwirtschaftliche Forschungsberichte,0023-1347,,115065,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Le Lait,0023-7302,1297-9694,116179,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Livestock Production Science,0301-6226,,119558,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Livestock Research for Rural Development,0121-3784,,110112,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Livestock Science,1871-1413,,101364,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Meat Science,0309-1740,,109802,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Milchwissenschaft,0026-3788,,107831,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Poultry and Avian Biology Reviews,1357-048X,,132929,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Poultry science,0032-5791,1525-3171,110331,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Productions Animales,0990-0632,1152-5428,118673,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Reproduction in Domestic Animals,0936-6768,1439-0531,116601,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,"Reproduction, nutrition, development",0926-5287,1297-9708,120167,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Revista brasileira de ciencia avicola / Fundacao APINCO de Ciencia e Tecnologia Avicolas,1516-635X,,111995,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Revista Brasileira de Zootecnia,1516-3598,,109573,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Revista Cientifica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia,0798-2259,,108434,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Small Ruminant Research,0921-4488,,101311,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,South African Journal Of Animal Science,0375-1589,,109689,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Swine Health and Production,1066-4963,,141189,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,The Indian journal of animal sciences,0367-8318,,120301,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,The Indian veterinary journal,0019-6479,,108757,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,The Journal of dairy research,0022-0299,1469-7629,109967,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,The journal of poultry science,1346-7395,,118480,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Theriogenology,0093-691X,,118649,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Tropical Animal Health and Production,0049-4747,1573-7438,114893,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Turkish Journal of Veterinary and Animal Sciences,1300-0128,1303-6181,111540,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Wool Technology and Sheep Breeding,0043-7875,,105103,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,World Rabbit Science,1257-5011,,118682,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,World's poultry science journal,0043-9339,,116091,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Zivocisna Vyroba,0044-4847,,100547,
Applied Sciences,"Agriculture, Fisheries & Forestry",Dairy & Animal Science,2,Zuchtungskunde,0044-5401,,112331,
Applied Sciences,"Agriculture, Fisheries & Forestry",Fisheries,3,Acta Ichthyologica et Piscatoria,0137-1592,1734-1515,106506,
Applied Sciences,"Agriculture, Fisheries & Forestry",Fisheries,3,Acta Scientiarum - Biological and Health Sciences,1415-6814,,130461,
Applied Sciences,"Agriculture, Fisheries & Forestry",Fisheries,3,Advances in limnology,1612-166X,,121544,
Applied Sciences,"Agriculture, Fisheries & Forestry",Fisheries,3,Aquacultural Engineering,0144-8609,,111550,
Applied Sciences,"Agriculture, Fisheries & Forestry",Fisheries,3,Aquaculture,0044-8486,,116265,
