"issn","journal_name","pub_name",is_hybrid,"category","url"
"0104-4230","Revista Da Associacao Medica Brasileira","",0,NULL,""
"0104-6632","Brazilian Journal of Chemical Engineering","",0,NULL,""
"0104-7760","Cerne","",0,NULL,""
"0104-9224","Soldagem & Inspecao","",0,NULL,""
"0120-0534","Revista Latinoamericana De Psicologia","",0,NULL,""
"0120-4157","Biomedica","",0,NULL,""
"0120-5609","Ingenieria E Investigacion","",0,NULL,""
"0121-1617","Historia Critica","",0,NULL,""
"0122-0268","Revista MVZ Cordoba","",0,NULL,""
"0123-5362","Revista De Economía Del Rosario","Universidad del Rosario",0,"Social Sciences","http://revistas.urosario.edu.co/index.php/economia/index"
"0123-885X","Revista De Estudios Sociales","",0,NULL,""
"0129-1564","International Journal of High Speed Electronics and Systems ","Advanced Science and Engineering Technology Institute (ASET)",0,NULL,""
"0137-1592","Acta Ichthyologica Et Piscatoria","",0,NULL,""
"0137-1649","Animal Science Papers and Reports","Polish Academy of Sciences",0,NULL,NULL
"0137-5075","Archives of Acoustics","Versita",0,"nan",""
"0138-0338","Polish Polar Research","",0,NULL,""
"0139-570X","Agricultural Economics-Zemedelska Ekonomika","",0,NULL,""
"0141-9382","Displays","Elsevier",0,"PHYSICS AND CHEMISTRY",""
"0142-9612","Biomaterials","Elsevier",0,"PHYSICS AND CHEMISTRY",""
"0143-4004","Placenta","Elsevier",1,"Medicine",NULL
"0143-4179","Neuropeptides","Elsevier",1,"Neuroscience",NULL
"0144-8463","Bioscience Reports","",0,NULL,""
"0146-4833","Computer Communication Review","ASSOC COMPUTING MACHINERY",0,"nan",""
"0147-619X","Plasmid","Elsevier",1,"Molecular and Cell Biology",NULL
"0147-958X","Clinical and Investigative Medicine","Canadian Medical Association",0,"MEDICINE",""
"0160-2896","Intelligence","Elsevier",1,"Psychology",NULL
"0160-9327","Endeavour","Elsevier",1,"History and Philosophy of Science",NULL
"0161-6420","Ophthalmology","Elsevier",1,"Ophthalmology",NULL
"0161-813X","Neurotoxicology","Elsevier",1,"Environmental Health",NULL
"0163-3864","Journal of Natural Products","Amer Chemical Soc",0,"Food Science",NULL
"0163-5808","Sigmod Record","Assoc Computing Machinery",0,NULL,NULL
"0165-0505","BMGN-The Low Countries Historical Review","",0,NULL,""
"0166-0616","Studies in Mycology","",0,NULL,""
"0166-4972","Technovation","Elsevier",1,"Marketing",NULL
"0169-555X","Geomorphology","Elsevier",1,NULL,NULL
"0171-2985","Immunobiology","Elsevier",1,"Molecular and Cell Biology",NULL
"0185-1101","Revista Mexicana De Astronomia Y Astrofisica","Self Owned - Non-Profit Society",0,"Astronomy and Astrophysics",""
"0185-1415","Biointerface Research in Applied Chemistry","nan",0,NULL,""
"0185-1667","Investigacion Economica","Univ Nacional Autonoma Mexico",0,"Economics",NULL
"0185-3325","Salud Mental","Salud Mental ",0,"Psychiatry",NULL
"0185-3880","Ciencias Marinas","Self Owned - Non-Profit Society",0,"ECOLOGY AND EVOLUTION",""
"0187-358X","Investigacion Bibliotecologica","",0,NULL,""
"0187-6236","Atmosfera","CENTRO CIENCIAS ATMOSFERA UNAM",0,"nan",""
"0188-7653","Perfiles Latinoamericanos","",0,NULL,""
"0188-8897","Hidrobiologica","",0,NULL,""
"0190-0528","Rangelands","Elsevier",1,NULL,NULL
"0195-6663","Appetite","Elsevier",0,"MEDICINE",""
"0196-9781","Peptides","Elsevier",1,"Molecular and Cell Biology",NULL
"0208-6425","Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa","",0,NULL,""
"0210-0614","Revista Espanola De Documentacion Cientifica","",0,NULL,""
"0210-9778","Lazaroa","",0,NULL,""
"0211-1322","Anales Del Jardin Botanico De Madrid","",0,NULL,""
"0211-2159","Psicologica","",0,NULL,""
"0211-5638","Fisioterapia","Elsevier",1,NULL,NULL
"0211-6995","Nefrologia","",0,NULL,""
"0211-9536","Dynamis","",0,NULL,""
"0212-6567","Atencion Primaria","",0,NULL,""
"0212-6796","Magister","Elsevier",1,NULL,NULL
"0212-9728","Anales De Psicologia","",0,NULL,""
"0213-6163","European Journal of Psychiatry","Universidad De Zaragoza",0,"Psychiatry",""
"0213-9111","Gaceta Sanitaria","",0,NULL,""
"0214-9915","Psicothema","",0,NULL,""
"0217-2445","Raffles Bulletin of Zoology","Self Owned - Non-Profit Society",0,"Ecology and Evolution",NULL
"0219-3094","Annals of Combinatorics","Springer",1,NULL,NULL
"0219-3116","Knowledge and Information Systems","Springer",1,NULL,NULL
"0222-4062","South African Journal of Animal Science","South African Journal of Animal Sciences",0,NULL,NULL
"0236-8722","International Agrophysics","Polish Academy of Sciences",0,"",""
"0239-7528","Bulletin of the Polish Academy of Sciences-Technical Sciences","Polish Academy of Sciences",0,"ROBOTICS",""
"0239-8508","Folia Histochemica Et Cytobiologica","",0,NULL,""
"0242-3960","Interbloc","Elsevier",1,NULL,NULL
"0250-4685","Turkish Journal of Biochemistry-Turk Biyokimya Dergisi","Self Owned - Non-Profit Society",0,"","nan"
"0250-4707","Bulletin of Materials Science","",0,NULL,""
"0250-474X","Indian Journal of Pharmaceutical Sciences","Medknow Publications",0,"","nan"
"0250-5991","Journal of Biosciences","",0,NULL,""
"0250-6335","Journal of Astrophysics and Astronomy","",0,NULL,""
"0250-7161","Eure-Revista Latinoamericana De Estudios Urbano Regionales","",0,NULL,""
"0251-7493","Austrian Journal of Earth Sciences","Austrian Geological Society",0,"","http://www.univie.ac.at/ajes/guidelines/"
"0253-2143","Journal of Earth System Science","Springer",0,NULL,NULL
"0253-4126","Journal of Earth System Science","",0,NULL,""
"0253-4134","Journal of Chemical Sciences","Springer",0,"Physics and Chemistry",NULL
"0253-4142","Proceedings of the Indian Academy of Sciences-Mathematical Sciences","Springer",0,"Mathematics",""
"0253-7613","Indian Journal of Pharmacology","Medknow",0,"",""
"0253-8318","Pakistan Veterinary Journal","",0,NULL,""
"0255-0857","Indian Journal of Medical Microbiology","Medknow Publications",0,"",""
"0256-0100","South African Journal of Education","",0,NULL,""
"0256-2499","Sadhana-Academy Proceedings in Engineering Sciences","",0,NULL,""
"0256-4947","Annals of Saudi Medicine","K FAISAL SPEC HOSP RES CENTRE",0,"MEDICINE",""
"0256-9574","Samj South African Medical Journal","",0,NULL,""
"0260-3055","Annals of Glaciology","",0,NULL,""
"0263-2241","Measurement","Elsevier",1,"Operations Research",NULL
"0264-2751","Cities","Elsevier",0,"nan",""
"0264-410X","Vaccine","Elsevier",1,"Infectious Diseases",NULL
"0266-6138","Midwifery","Elsevier",1,"Medicine",NULL
"0276-4741","Mountain Research and Development","",0,NULL,""
"0277-5387","Polyhedron","Elsevier",1,"Physics and Chemistry",NULL
"0278-0240","Disease Markers","",0,NULL,""
"0281-3432","Scandinavian Journal of Primary Health Care","",0,NULL,""
"0300-0605","Journal of International Medical Research","",0,NULL,""
"0300-483X","Toxicology","Elsevier",1,"Environmental Health",NULL
"0300-9084","Biochimie","Elsevier",0,"MOLECULAR AND CELL BIOLOGY",""
"0300-9572","Resuscitation","Elsevier",1,"Medicine",NULL
"0301-4681","Differentiation","Elsevier",0,"MOLECULAR AND CELL BIOLOGY",""
"0301-4738","Indian Journal of Ophthalmology","Medknow Publications",0,"",""
"0303-2647","BioSystems","Elsevier",0,"MOLECULAR AND CELL BIOLOGY",""
"0303-464X","Acta Reumatologica Portuguesa","",0,NULL,""
"0304-386X","Hydrometallurgy","Elsevier",1,NULL,NULL
"0304-3991","Ultramicroscopy","Elsevier",1,"Physics and Chemistry",NULL
"0304-422X","Poetics","Elsevier",0,"","https://www.elsevier.com/journals/poetics/0304-422x/guide-for-authors"
"0304-4289","Pramana-Journal of Physics","",0,NULL,""
"0304-4602","Annals Academy of Medicine Singapore","ACAD MEDICINE SINGAPORE",0,"MEDICINE",""
"0305-0483","Omega","Elsevier",1,"Operations Research",NULL
"0305-1048","Nucleic Acids Research","",0,NULL,""
"0305-4179","Burns","Elsevier",0,"PLASTIC SURGERY",""
"0305-7518","Leprosy Review","",0,NULL,""
"0306-4522","Neuroscience","Elsevier",1,"Neuroscience",NULL
"0306-4530","Psychoneuroendocrinology","Elsevier",1,"Neuroscience",NULL
"0332-7353","Modeling Identification and Control","",0,NULL,""
"0341-8162","Catena","Elsevier",0,"nan",""
"0346-251X","System","Elsevier",0,"","https://www.elsevier.com/journals/system/0346-251x/guide-for-authors"
"0350-199X","Medical Archives","Avicena Publisher",0,NULL,""
"0350-820X","Science of Sintering","International Institute for the Science of Sintering",0,"Physics and Chemistry",""
"0351-0026","Zdravstveno Varstvo","",0,NULL,""
"0352-9568","Chemical and Biochemical Engineering Quarterly","Self Owned - Non-Profit Society",0,"nan",""
"0353-5320","Promet-Traffic & Transportation","",0,NULL,""
"0353-8109","Acta Informatica Medica (Acta Inform Med)","Avicena Publisher",0,NULL,""
"0354-4664","Archives of Biological Sciences","",0,NULL,""
"0354-5180","Filomat","KoBSON",0,"","http://journal.pmf.ni.ac.rs/filomat/index.php/filomat/about/journalSponsorship"
"0354-9836","Thermal Science","Self Owned - Non-Profit Society",0,"",""
"0360-5442","Energy","Elsevier",1,"Energy",NULL
"0360-7275","Chemical Engineering Progress","AMER INST CHEMICAL ENGINEERS",0,"nan",""
"0364-5916","Calphad","Elsevier",0,"PHYSICS AND CHEMISTRY",""
"0365-0588","Acta Botanica Croatica","University of Zagreb",0,"ECOLOGY AND EVOLUTION",""
"0365-0596","Anais Brasileiros De Dermatologia","",0,NULL,""
"0366-5232","Caldasia","",0,NULL,""
"0366-6999","Chinese Medical Journal","",0,NULL,""
"0367-0449","Estudios Geologicos-Madrid","",0,NULL,""
"0367-2530","Flora","Elsevier",1,"Ecology and Evolution",NULL
"0367-326X","Fitoterapia","Elsevier",1,"Food Science",NULL
"0367-5211","Bulletin of the Geological Society of Finland","Geological Society of Finland",0,"nan",""
"0367-598X","Hemijska Industrija","",0,NULL,""
"0368-0762","Irish Veterinary Journal","",0,NULL,""
"0368-1238","West Indian Medical Journal","Univ West Indies Faculty Medical Sciences",0,NULL,NULL
"0370-2693","Physics Letters B","",0,NULL,""
"0370-8179","Srpski Arhiv Za Celokupno Lekarstvo","",0,NULL,""
"0373-2029","Archives of Mechanics","Polish Academy of Sciences",0,"STRUCTURAL ENGINEERING",""
"0375-6505","Geothermics","Elsevier",1,"Energy",NULL
"0375-8427","Veterinarni Medicina","Inst Agricultural Food Information",0,"Veterinary",""
"0376-4710","Indian Journal of Chemistry Section A-Inorganic Bio-Inorganic Physical Theoretic","Natl Inst Science Communication",0,"Physics and Chemistry",NULL
"0377-2063","Iete Journal of Research","Medknow",0,NULL,NULL
"0377-4929","Indian Journal of Pathology and Microbiology","Medknow Publications",0,"",""
"0378-1119","Gene","Elsevier",1,"Molecular and Cell Biology",NULL
"0378-4738","Water Sa","",0,NULL,""
"0378-5122","Maturitas","Elsevier",1,"Medicine",NULL
"0378-6323","Indian Journal of Dermatology Venereology & Leprology","Self Owned - Non-Profit Society",0,"",""
"0379-4350","South African Journal of Chemistry-Suid-Afrikaanse Tydskrif Vir Chemie","",0,NULL,""
"0380-1489","Canadian Studies in Population","",0,NULL,""
"0386-2194","Proceedings of the Japan Academy Series A-Mathematical Sciences","Self Owned - Non-Profit Society",0,"Mathematics",NULL
"0386-2208","Proceedings of the Japan Academy Series B-Physical and Biological Sciences","",0,NULL,""
"0386-300X","Acta Medica Okayama","OKAYAMA UNIV MED SCHOOL",0,"MOLECULAR AND CELL BIOLOGY",""
"0390-6078","Haematologica","",0,NULL,""
"0392-6672","International Journal of Speleology","",0,NULL,""
"0394-1914","HYSTRIX-Italian Journal of Mammalogy","",0,NULL,""
"0423-104X","Endokrynologia Polska","",0,NULL,""
"0449-3060","Journal of Radiation Research","",0,NULL,""
"0465-2746","Materiales De Construccion","",0,NULL,""
"0465-5893","Medycyna Pracy","",0,NULL,""
"0482-5004","Revista Brasileira De Reumatologia","",0,NULL,""
"0489-1028","First Independent Scientific Journal","nan",0,NULL,""
"0505-401X","Veterinaria Italiana","",0,NULL,""
"0534-0012","Genetika-Belgrade","",0,NULL,""
"0550-3213","Nuclear Physics B","",0,NULL,""
"0556-3321","Pakistan Journal of Botany","Pakistan Botanical Soc",0,"Plant Biology",NULL
"0567-7920","Acta Palaeontologica Polonica","",0,NULL,""
"0716-078X","Revista Chilena De Historia Natural","",0,NULL,""
"0717-3458","Electronic Journal of Biotechnology","UNIV CATOLICA DE VALPARAISO",0,"nan",""
"0717-5000","CLEI Electronic Journal","Centro Latinoamericano de Estudios en Informática",0,"Science","http://www.clei.cl/cleiej/index.html"
"0717-554X","Cinta De Moebio: Revista De Epistemologia De Ciencias Sociales","Universidad de Chile",0,"Philosophy. Psychology. Religion","http://www.facso.uchile.cl/publicaciones/moebio/info.html"
"0717-6236","EURE (Santiago) - Revista Latinoamericana De Estudios Urbano Regionales","Pontificia Universidad Católica de Chile",0,"Fine Arts","http://www.eure.cl/index.php/eure/index"
"0717-6252","Revista Musical Chilena","Universidad de Chile",0,"Music and books on Music","http://www.revistamusicalchilena.uchile.cl/"
"0717-6287","Biological Research","Chilean Biology Society",0,NULL,NULL
"0717-6295","Teología Y Vida","Pontificia Universidad Católica de Chile",0,"Philosophy. Psychology. Religion","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0049-3449&lng=en&nrm=iso"
"0717-6317","Revista Chilena De Historia Natural","Springer",0,"Science","http://revchilhistnat.com/"
"0717-6384","Medwave","Medwave Estudios Limitada",0,"Medicine","http://www.medwave.cl"
"0717-7194","Historia (Santiago)","Pontificia Universidad Católica de Chile",0,"History America","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7194&lng=en&nrm=iso"
"0717-7348","Revista Chilena De Enfermedades Respiratorias","Sociedad Chilena de Enfermedades Respiratorias",0,"Medicine","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7348&lng=en&nrm=iso"
"0717-7917","Boletin Latinoamericano Y Del Caribe De Plantas Medicinales Y Aromaticas","SOC FITOQUIMICA LATINOAMERICANA",0,"FOOD SCIENCE",""
"0717-9502","International Journal of Morphology","SciELO",0,"","http://www.scielo.cl/revistas/ijmorphol/einstruc.htm"
"0717-9707","Journal of the Chilean Chemical Society","Sociedad Chilena De Quimica",0,NULL,NULL
"0717-9758","Diseño Urbano Y Paisaje","Universidad Central de Chile",0,"Fine Arts","http://www.ucentral.cl/dup/"
