"journal_id","journal_name","category","max_aidate","article_influence","max_apcdate","price","license"
"0031-3025","Pathology","Oncology",2014-12-31,0.695785,2016-08-11,2500,NA
"0031-9406","Physiotherapy","Sports Medicine",2014-12-31,0.619721,2016-08-11,2500,NA
"0031-9422","Phytochemistry","Food Science",2014-12-31,0.851686,2016-08-11,3300,NA
"0032-3861","Polymer","Physics and Chemistry",2014-12-31,0.842096,2016-08-11,3000,NA
"0033-2879","Psychologica Belgica","Psychology",2015-12-31,0.473,2013-01-01,0,NA
"0033-3182","Psychosomatics","Psychiatry",2014-12-31,0.775832,2016-08-11,3000,NA
"0034-7744","Revista De Biologia Tropical","Science",2015-12-31,0.166,2016-11-11,0,NA
"0037-5330","Silva Fennica","Ecology and Evolution",2014-12-31,0.485985,2013-01-01,0,NA
"0037-5675","Singapore Medical Journal","",2014-12-31,0.20706,2012-01-01,0,NA
"0038-3910","Southern California Law Review","Law",2014-12-31,0.61748,2013-01-01,0,NA
"0039-128X","Steroids","Molecular and Cell Biology",2014-12-31,0.670208,2016-08-11,3000,NA
"0039-6060","Surgery","Gastroenterology",2014-12-31,1.29127,2016-08-11,3000,NA
"0039-9140","Talanta",NA,2014-12-31,0.757193,2016-08-11,2600,NA
"0040-1951","Tectonophysics",NA,2014-12-31,1.18214,2016-08-11,2800,NA
"0040-4020","Tetrahedron","Physics and Chemistry",2014-12-31,0.575353,2016-08-11,2150,NA
"0041-0101","Toxicon","Molecular and Cell Biology",2014-12-31,0.609574,2016-08-11,3300,NA
"0041-624X","Ultrasonics","Radiology",2014-12-31,0.611229,2016-08-11,2600,NA
"0042-207X","Vacuum","Physics and Chemistry",2014-12-31,0.380649,2016-08-11,2200,NA
"0042-6822","Virology","Molecular and Cell Biology",2014-12-31,1.03928,2016-08-11,2150,NA
"0042-9686","Bulletin of the World Health Organization","MEDICINE",2014-12-31,2.45466,2017-05-22,0,NA
"0043-0617","Washington Law Review","Law",2014-12-31,0.33672,2013-01-01,0,NA
"0043-1648","Wear","Physics and Chemistry",2014-12-31,0.600807,2016-08-11,3000,NA
"0043-650X","Wisconsin Law Review","Law",2014-12-31,0.522793,2012-01-01,0,NA
"0044-8486","Aquaculture","ECOLOGY AND EVOLUTION",2014-12-31,0.585827,2017-05-22,3600,NA
"0045-6535","Chemosphere","nan",2014-12-31,0.936362,2017-05-22,3200,NA
"0046-1121","Ecology Law Quarterly","LAW",2014-12-31,0.206576,2013-01-01,0,NA
"0065-1400","Acta Neurobiologiae Experimentalis","NEUROSCIENCE",2015-12-31,0.506,2013-01-01,0,NA
"0067-3064","Baltica","nan",2014-12-31,0.148431,2012-01-01,0,NA
"0075-9511","Limnologica","Ecology and Evolution",2014-12-31,0.529878,2016-08-11,1500,NA
"0078-3234","Oceanologia",NA,2015-12-31,0.358,2016-08-11,0,NA
"0090-0656","Fishery Bulletin","Ecology and Evolution",2014-12-31,0.697798,2013-01-01,0,NA
"0090-4295","Urology","Urology",2014-12-31,0.668528,2016-08-11,3000,NA
"0091-6765","Environmental Health Perspectives","Environmental Health",2015-12-31,2.739,2013-01-01,0,NA
"0092-8674","Cell","MOLECULAR AND CELL BIOLOGY",2014-12-31,19.3606,2017-05-22,5000,NA
"0093-691X","Theriogenology","Veterinary",2014-12-31,0.518744,2016-08-11,2500,NA
"0100-8455","Genetics and Molecular Biology",NA,1999-12-31,0.072271,2013-01-01,0,NA
"0103-9733","Brazilian Journal of Physics","PHYSICS AND CHEMISTRY",2014-12-31,0.242883,2017-05-22,3000,NA
"0137-5075","Archives of Acoustics","nan",2014-12-31,0.113359,2012-01-01,0,NA
"0141-9382","Displays","PHYSICS AND CHEMISTRY",2014-12-31,0.240571,2017-05-22,2400,NA
"0142-9612","Biomaterials","PHYSICS AND CHEMISTRY",2014-12-31,2.00533,2017-05-22,3500,NA
"0143-4004","Placenta","Medicine",2014-12-31,0.865034,2016-08-11,3300,NA
"0143-4179","Neuropeptides","Neuroscience",2014-12-31,0.566596,2016-08-11,1700,NA
"0146-4833","Computer Communication Review","nan",2014-12-31,1.43632,2013-01-01,0,NA
"0147-619X","Plasmid","Molecular and Cell Biology",2014-12-31,0.542881,2016-08-11,3000,NA
"0147-958X","Clinical and Investigative Medicine","MEDICINE",2014-12-31,0.387068,2012-01-01,0,NA
"0160-2896","Intelligence","Psychology",2014-12-31,1.19248,2016-08-11,2150,NA
"0160-9327","Endeavour","History and Philosophy of Science",2014-12-31,0.119731,2016-08-11,750,NA
"0161-6420","Ophthalmology","Ophthalmology",2014-12-31,1.85087,2016-08-11,3000,NA
"0161-813X","Neurotoxicology","Environmental Health",2014-12-31,0.794857,2016-08-11,3300,NA
"0163-3864","Journal of Natural Products","Food Science",2014-12-31,0.784061,2012-01-01,0,NA
"0163-5808","Sigmod Record",NA,2014-12-31,0.584666,2013-01-01,0,NA
"0166-4972","Technovation","Marketing",2014-12-31,0.880267,2016-08-11,1800,NA
"0169-555X","Geomorphology",NA,2014-12-31,0.953163,2016-08-11,3300,NA
"0171-2985","Immunobiology","Molecular and Cell Biology",2014-12-31,0.945017,2016-08-11,2050,NA
"0185-1101","Revista Mexicana De Astronomia Y Astrofisica","Astronomy and Astrophysics",2015-12-31,0.874,2013-01-01,0,NA
"0185-1667","Investigacion Economica","Economics",2014-12-31,0.0684903,2016-08-11,0,NA
"0185-3325","Salud Mental","Psychiatry",2014-12-31,0.0662057,2012-01-01,0,NA
"0185-3880","Ciencias Marinas","ECOLOGY AND EVOLUTION",2015-12-31,0.254,2013-01-01,250,NA
"0187-6236","Atmosfera","nan",2014-12-31,0.261848,2017-05-22,0,NA
"0195-6663","Appetite","MEDICINE",2014-12-31,0.879309,2017-05-22,2800,NA
"0196-9781","Peptides","Molecular and Cell Biology",2014-12-31,0.591636,2016-08-11,3000,NA
"0213-6163","European Journal of Psychiatry","Psychiatry",2015-12-31,0.193,2012-01-01,0,NA
"0217-2445","Raffles Bulletin of Zoology","Ecology and Evolution",2014-12-31,0.344769,2013-01-01,0,NA
"0236-8722","International Agrophysics","",2015-12-31,0.273,2017-05-14,447,NA
"0239-7528","Bulletin of the Polish Academy of Sciences-Technical Sciences","ROBOTICS",2015-12-31,0.169,2017-05-14,338,NA
"0250-4685","Turkish Journal of Biochemistry-Turk Biyokimya Dergisi","",2014-12-31,0.0557405,2013-01-01,0,NA
"0250-474X","Indian Journal of Pharmaceutical Sciences","",2014-12-31,0.174893,2013-01-01,0,NA
"0251-7493","Austrian Journal of Earth Sciences","",2010-12-31,0.370643,2017-05-14,0,NA
"0253-4134","Journal of Chemical Sciences","Physics and Chemistry",2014-12-31,0.301,2013-01-01,0,NA
"0253-4142","Proceedings of the Indian Academy of Sciences-Mathematical Sciences","Mathematics",2015-12-31,0.25,2013-01-01,0,NA
"0253-7613","Indian Journal of Pharmacology","",2015-12-31,0.188,2017-05-14,0,NA
"0255-0857","Indian Journal of Medical Microbiology","",2015-12-31,0.298,2017-05-14,150,NA
"0256-4947","Annals of Saudi Medicine","MEDICINE",2014-12-31,0.225965,2013-01-01,0,NA
"0263-2241","Measurement","Operations Research",2014-12-31,0.341005,2016-08-11,2600,NA
"0264-2751","Cities","nan",2014-12-31,0.582509,2017-05-22,1100,NA
"0264-410X","Vaccine","Infectious Diseases",2014-12-31,0.940688,2016-08-11,2150,NA
"0266-6138","Midwifery","Medicine",2014-12-31,0.440016,2016-08-11,3000,NA
"0277-5387","Polyhedron","Physics and Chemistry",2014-12-31,0.329997,2016-08-11,2600,NA
"0300-483X","Toxicology","Environmental Health",2014-12-31,0.923279,2016-08-11,2600,NA
"0300-9084","Biochimie","MOLECULAR AND CELL BIOLOGY",2014-12-31,0.888138,2017-05-22,2400,NA
"0300-9572","Resuscitation","Medicine",2014-12-31,1.10081,2016-08-11,3000,NA
"0301-4681","Differentiation","MOLECULAR AND CELL BIOLOGY",2014-12-31,1.04725,2017-05-22,3000,NA
"0301-4738","Indian Journal of Ophthalmology","",2015-12-31,0.279,2017-05-14,0,NA
"0303-2647","BioSystems","MOLECULAR AND CELL BIOLOGY",2014-12-31,0.501924,2017-05-22,1800,NA
"0304-386X","Hydrometallurgy",NA,2014-12-31,0.595196,2016-08-11,3300,NA
"0304-3991","Ultramicroscopy","Physics and Chemistry",2014-12-31,0.934769,2016-08-11,2600,NA
"0304-422X","Poetics","",2014-12-31,1.01602,2017-05-14,1800,NA
"0304-4602","Annals Academy of Medicine Singapore","MEDICINE",2014-12-31,0.421268,2013-01-01,0,NA
"0305-0483","Omega","Operations Research",2014-12-31,1.23972,2016-08-11,1800,NA
"0305-4179","Burns","PLASTIC SURGERY",2014-12-31,0.486775,2017-05-22,3000,NA
"0306-4522","Neuroscience","Neuroscience",2014-12-31,1.05494,2016-08-11,2200,NA
"0306-4530","Psychoneuroendocrinology","Neuroscience",2014-12-31,1.68632,2016-08-11,3000,NA
"0341-8162","Catena","nan",2014-12-31,0.827389,2017-05-22,2500,NA
"0346-251X","System","",2014-12-31,0.402564,2017-05-14,1800,NA
"0350-820X","Science of Sintering","Physics and Chemistry",2015-12-31,0.134,2013-01-01,0,NA
"0352-9568","Chemical and Biochemical Engineering Quarterly","nan",2015-12-31,0.205,2017-05-22,0,NA
"0354-5180","Filomat","",2014-12-31,0.263628,2017-05-14,0,NA
"0354-9836","Thermal Science","",2015-12-31,0.147,2017-05-14,169,NA
"0360-5442","Energy","Energy",2014-12-31,0.923357,2016-08-11,2950,NA
"0360-7275","Chemical Engineering Progress","nan",2014-12-31,0.12186,2012-01-01,0,NA
"0364-5916","Calphad","PHYSICS AND CHEMISTRY",2014-12-31,0.597594,2017-05-22,2500,NA
"0365-0588","Acta Botanica Croatica","ECOLOGY AND EVOLUTION",2015-12-31,0.181,2017-05-14,0,NA
"0367-2530","Flora","Ecology and Evolution",2014-12-31,0.470402,2016-08-11,1500,NA
"0367-326X","Fitoterapia","Food Science",2014-12-31,0.531185,2016-08-11,1800,NA
"0367-5211","Bulletin of the Geological Society of Finland","nan",2015-12-31,0.327,2017-05-14,0,NA
"0373-2029","Archives of Mechanics","STRUCTURAL ENGINEERING",2014-12-31,0.279676,2013-01-01,0,NA
"0375-6505","Geothermics","Energy",2014-12-31,0.864604,2016-08-11,2650,NA
"0375-8427","Veterinarni Medicina","Veterinary",2015-12-31,0.217,2013-01-01,0,NA
"0376-4710","Indian Journal of Chemistry Section A-Inorganic Bio-Inorganic Physical Theoretic","Physics and Chemistry",2014-12-31,0.162286,2013-01-01,0,NA
"0377-2063","Iete Journal of Research",NA,2014-12-31,0.0567869,2012-01-01,0,NA
"0377-4929","Indian Journal of Pathology and Microbiology","",2015-12-31,0.161,2017-05-14,200,NA
"0378-1119","Gene","Molecular and Cell Biology",2014-12-31,0.612949,2016-08-11,3300,NA
"0378-5122","Maturitas","Medicine",2014-12-31,0.833543,2016-08-11,3000,NA
"0378-6323","Indian Journal of Dermatology Venereology & Leprology","",2015-12-31,0.495,2017-05-14,0,NA
"0386-2194","Proceedings of the Japan Academy Series A-Mathematical Sciences","Mathematics",2014-12-31,0.428846,2013-01-01,0,NA
"0386-300X","Acta Medica Okayama","MOLECULAR AND CELL BIOLOGY",2015-12-31,0.23,2013-01-01,1265,NA
"0556-3321","Pakistan Journal of Botany","Plant Biology",2014-12-31,0.130304,2013-01-01,800,NA
"0717-3458","Electronic Journal of Biotechnology","nan",2015-12-31,0.27,2017-05-22,1000,NA
"0717-7917","Boletin Latinoamericano Y Del Caribe De Plantas Medicinales Y Aromaticas","FOOD SCIENCE",2014-12-31,0.0713044,2013-01-01,0,NA
"0717-9502","International Journal of Morphology","",2014-12-31,0.0589369,2017-05-14,4500,NA
"0718-560X","Latin American Journal of Aquatic Research","Agriculture",2015-12-31,0.204,2010-07-15,300,NA
"0718-7092","Andean Geology","nan",2014-12-31,0.522266,2017-05-22,0,NA
"0718-7106","Andean Geology","Science",2015-12-31,0.673,2016-10-28,0,NA
"0730-2347","Texas Heart Institute Journal","Medicine",2014-12-31,0.25996,2013-01-01,0,NA
"0741-8329","Alcohol","NEUROSCIENCE",2014-12-31,0.595231,2017-05-22,2500,NA
"0742-3225","Family Medicine","Medicine",2014-12-31,0.56412,2013-01-01,0,NA
"0747-9964","Journal of Engineering Technology","Physics and Chemistry",2014-12-31,0.225113,2012-01-01,0,NA
"0748-7711","Journal of Rehabilitation Research and Development","Sports Medicine",2014-12-31,0.742352,2013-01-01,0,NA
"0860-8229","Metrology and Measurement Systems","",2015-12-31,0.219,2017-05-14,0,NA
"0888-7543","Genomics","Molecular and Cell Biology",2014-12-31,1.02436,2016-08-11,2150,NA
"0896-5803","Journal of Real Estate Research",NA,2013-12-31,0.604761,2013-01-01,0,NA
"0896-6273","Neuron","Neuroscience",2014-12-31,8.68221,2016-08-11,5000,NA
"0899-9007","Nutrition","Medicine",2014-12-31,0.756757,2016-08-11,2500,NA
"0915-5287","Journal of Physical Therapy Science","",2014-12-31,0.0474203,2017-05-14,90,NA
"0918-7960","Anthropological Science","ANTHROPOLOGY",2014-12-31,0.317534,2013-01-01,750,NA
"0925-2312","Neurocomputing",NA,2014-12-31,0.514374,2016-08-11,2400,NA
"0944-2006","Zoology","Ecology and Evolution",2014-12-31,0.629762,2016-08-11,1800,NA
"0944-7113","Phytomedicine","Food Science",2014-12-31,0.701661,2016-08-11,2500,NA
"0948-5023","Journal of Molecular Modeling",NA,2004-12-31,0.63903,2016-08-11,3000,NA
"0957-4158","Mechatronics","Robotics",2014-12-31,0.639497,2016-08-11,2400,NA
"0966-9795","Intermetallics","Physics and Chemistry",2014-12-31,0.672996,2016-08-11,1000,NA
"0968-4328","Micron","Physics and Chemistry",2014-12-31,0.549258,2016-08-11,2200,NA
"0969-2126","Structure","Molecular and Cell Biology",2014-12-31,3.17004,2016-08-11,5000,NA
"0970-9371","Journal of Cytology","",2015-12-31,0.118,2017-05-14,0,NA
"0970-938X","Biomedical Research",NA,2014-12-31,0.0481363,2017-05-14,2250,NA
"0971-5916","Indian Journal of Medical Research","Medicine",2015-12-31,0.549,2013-01-01,0,NA
"0971-8966","Himalayan Geology","",2014-12-31,0.078419,2012-01-01,0,NA
"0972-2327","Annals of Indian Academy of Neurology","NEUROSCIENCE",2015-12-31,0.224,2017-05-14,0,NA
"0972-3757","International Journal of Human Genetics","",2014-12-31,0.0626614,2012-01-01,75,NA
"0972-5849","Indian Journal of Biotechnology","",2014-12-31,0.144575,2017-05-14,0,NA
"0972-9062","Journal of Vector Borne Diseases","",2015-12-31,0.289,2017-05-14,0,NA
"0973-1482","Journal of Cancer Research and Therapeutics","",2015-12-31,0.181,2017-05-14,100,NA
"1000-324X","Journal of Inorganic Materials","Physics and Chemistry",2014-12-31,0.0760542,2013-01-01,0,NA
"1001-9014","Journal of Infrared and Millimeter Waves","Physics and Chemistry",2015-12-31,0.048,2012-01-01,0,NA
"1002-0160","Pedosphere","Plant Biology",2014-12-31,0.50875,2016-08-11,3000,NA
"1020-4989","Revista Panamericana De Salud Publica-Pan American Journal of Public Health","Medicine",2014-12-31,0.306821,2013-01-01,0,NA
"1021-2019","Journal of the South African Institution of Civil Engineering","",2014-12-31,0.11891,2013-01-01,0,NA
"1021-5506","Zoological Studies","Ecology and Evolution",2014-12-31,0.274849,2013-01-01,0,NA
"1026-2881","Pachyderm","",2014-12-31,0.134451,2013-01-01,0,NA
"1027-5193","European Integration Online Papers-Eiop","",2014-12-31,0.347333,2013-01-01,0,NA
"1028-2092","Bangladesh Journal of Plant Taxonomy","ECOLOGY AND EVOLUTION",2015-12-31,0.08,2017-05-22,0,NA
"1029-242X","Journal of Inequalities and Applications","Science",2015-12-31,0.223,2016-08-11,1140,NA
"1029-8479","Journal of High Energy Physics","Science",2015-12-31,1.329,2016-12-07,0,NA
"1042-8275","Oceanography","",2014-12-31,1.84523,2017-05-14,500,NA
"1043-4666","Cytokine","MOLECULAR AND CELL BIOLOGY",2014-12-31,0.76376,2017-05-22,3300,NA
"1044-677X","Journal of Research of the National Institute of Standards and Technology",NA,2015-12-31,0.378,2013-01-01,0,NA
"1045-1056","Biologicals","INFECTIOUS DISEASES",2014-12-31,0.419397,2017-05-22,3000,NA
"1046-2023","Methods","Molecular and Cell Biology",2014-12-31,1.51599,2016-08-11,3300,NA
"1053-8119","Neuroimage","Neuroscience",2014-12-31,2.25668,2016-08-11,2600,NA
"1062-6050","Journal of Athletic Training","Sports Medicine",2014-12-31,0.7722,2013-01-01,0,NA
"1068-9613","Electronic Transactions on Numerical Analysis","Mathematics",2014-12-31,0.940276,2013-01-01,0,NA
"1074-7613","Immunity","Molecular and Cell Biology",2014-12-31,11.6603,2016-08-11,5000,NA
"1075-9964","Anaerobe","INFECTIOUS DISEASES",2014-12-31,0.698909,2017-05-22,1750,NA
"1077-8926","Electronic Journal of Combinatorics","COMPUTER SCIENCE",2015-12-31,0.671,2017-05-22,0,NA
"1079-6762","Electronic Research Announcements in Mathematical Sciences",NA,2007-12-31,0.93346,2013-01-01,0,NA
"1080-6040","Emerging Infectious Diseases","Infectious Diseases",2015-12-31,3.055,2013-01-01,0,NA
"1081-3810","Electronic Journal of Linear Algebra","MATHEMATICS",2014-12-31,0.421715,2013-01-01,0,NA
"1083-589X","Electronic Communications in Probability","MATHEMATICS",2014-12-31,0.879654,2017-05-22,0,NA
"1083-6489","Electronic Journal of Probability","MATHEMATICS",2014-12-31,1.38098,2017-05-22,0,NA
"1087-2981","Medical Education Online","Education",2015-12-31,0.476,2003-09-24,1500,NA
"1088-9485","Bulletin of the American Mathematical Society",NA,2004-12-31,5.3688,2013-01-01,0,NA
"1090-0535","Molecular Vision","Ophthalmology",2014-12-31,0.569164,2013-01-01,0,NA
"1090-6924","Journal of Cave and Karst Studies",NA,2014-12-31,0.483275,2013-01-01,0,NA
"1092-0684","Neurosurgical Focus","",2014-12-31,0.969123,2017-05-14,0,NA
"1094-3501","Language Learning & Technology","Education",2015-12-31,0.722,2013-01-01,0,NA
"1094-4087","Optics Express","Physics and Chemistry",2014-12-31,1.05225,2013-01-01,1745,NA
"1094-8074","Palaeontologia Electronica","",2014-12-31,0.69329,2017-05-14,0,NA
"1098-4402","Physical Review Special Topics-Accelerators and Beams","Science",2015-12-31,0.614,2013-01-01,0,NA
"1099-4300","Entropy","",2015-12-31,0.529,2017-05-14,1629,NA
"1109-4028","Chemistry Education Research and Practice","EDUCATION",2014-12-31,0.424837,2017-05-22,2043.52,NA
"1125-7865","Dendrochronologia","nan",2014-12-31,0.607676,2017-05-22,1500,NA
"1133-455X","Revista De Economia Aplicada","Economics",2014-12-31,0.0800477,2013-01-01,0,NA
"1175-8708","English Teaching-Practice and Critique","",2014-12-31,0.156242,2017-05-14,0,NA
"1176-6328","Neuropsychiatric Disease and Treatment","",2014-12-31,0.452391,2017-05-14,2310,NA
"1176-9092","Clinical Interventions in Aging","",2014-12-31,0.573987,2017-05-14,2310,NA
"1176-9343","Evolutionary Bioinformatics","",2015-12-31,0.55,2017-05-14,1848,NA
"1177-8881","Drug Design Development and Therapy","MEDICINE",2015-12-31,0.672,2017-05-14,2310,NA
"1177-889X","Patient Preference and Adherence","",2015-12-31,0.558,2017-05-14,2310,NA
"1178-1998","Clinical Interventions in Aging","Medicine",2015-12-31,0.724,2009-06-05,2310,NA
"1178-2005","International Journal of Chronic Obstructive Pulmonary Disease","Medicine",2015-12-31,0.792,2009-06-05,2310,NA
"1178-2013","International Journal of Nanomedicine","Medicine",2015-12-31,0.939,2013-01-01,2200,NA
"1178-6930","OncoTargets and Therapy","",2015-12-31,0.374,2017-05-14,2310,NA
"1201-561X","Theory and Applications of Categories","",2014-12-31,0.717067,2012-01-01,0,NA
"1210-2512","Radioengineering","",2015-12-31,0.179,2017-05-14,671,NA
"1212-1800","Czech Journal of Food Sciences","FOOD SCIENCE",2015-12-31,0.225,2017-05-22,223.4,NA
"1212-1819","Czech Journal of Animal Science","VETERINARY",2015-12-31,0.231,2017-05-22,223.4,NA
"1214-1178","Plant Soil and Environment","Plant Biology",2015-12-31,0.326,2013-01-01,0,NA
"1217-8837","Acta Zoologica Academiae Scientiarum Hungaricae","ECOLOGY AND EVOLUTION",2015-12-31,0.187,2017-05-22,0,NA
"1220-1766","Studies in Informatics and Control","",2014-12-31,0.107104,2012-01-01,0,NA
"1221-1451","Romanian Reports in Physics","",2014-12-31,0.20955,2017-05-14,0,NA
"1221-146X","Romanian Journal of Physics","",2014-12-31,0.16548,2013-01-01,0,NA
"1224-5984","Romanian Biotechnological Letters","",2014-12-31,0.0914657,2017-05-14,168,NA
"1225-6463","Etri Journal",NA,2015-12-31,0.202,2013-01-01,0,NA
"1229-845X","Journal of Veterinary Science","Veterinary",2014-12-31,0.335286,2013-01-01,0,NA
"1230-3666","Fibres & Textiles in Eastern Europe","Physics and Chemistry",2014-12-31,0.142563,2013-01-01,1188,NA
"1239-629X","Annales Academiae Scientiarum Fennicae-Mathematica","MATHEMATICS",2015-12-31,0.745,2017-05-22,0,NA
"1239-9736","International Journal of Circumpolar Health","",2015-12-31,0.247,2017-05-14,678,NA
"1279-8517","Surgical and Radiologic Anatomy","Orthopedics",2014-12-31,0.344571,2016-08-11,3000,NA
"1280-8571","Adansonia","ECOLOGY AND EVOLUTION",2015-12-31,0.193,2013-01-01,0,NA
"1280-9551","Zoosystema","Ecology and Evolution",2014-12-31,0.299053,2013-01-01,0,NA
"1280-9659","Geodiversitas",NA,2014-12-31,0.452009,2013-01-01,0,NA
"1294-4475","Oil & Gas Science and Technology-Revue D IFP Energies Nouvelles",NA,2015-12-31,0.375,2012-01-01,0,NA
"1300-2163","Turk Psikiyatri Dergisi","Psychiatry",2014-12-31,0.140341,2013-01-01,0,NA
"1301-1111","Turkish Journal of Field Crops","",2014-12-31,0.127193,2017-05-14,200,NA
"1303-2712","Turkish Journal of Fisheries and Aquatic Sciences","",2014-12-31,0.186373,2017-05-14,0,NA
"1303-2968","Journal of Sports Science and Medicine","Sports Medicine",2015-12-31,0.55,2013-01-01,725,NA
"1305-3825","Diagnostic and Interventional Radiology","RADIOLOGY",2014-12-31,0.398816,2013-01-01,0,NA
"1307-6167","Records of Natural Products","",2015-12-31,0.246,2017-05-14,450,NA
"1322-7696","Collegian","MEDICINE",2014-12-31,0.367769,2017-05-22,1700,NA
"1330-0962","Biochemia Medica","MEDICINE",2014-12-31,0.405986,2017-05-22,0,NA
"1330-9862","Food Technology and Biotechnology","Food Science",2015-12-31,0.314,2013-01-01,0,NA
"1335-1788","Acta Montanistica Slovaca","nan",2014-12-31,0.0646314,2017-05-22,0,NA
"1335-8871","Measurement Science Review","",2015-12-31,0.23,2017-05-14,588,NA
"1340-3540","Mycoscience","",2014-12-31,0.384003,2017-05-14,1387,NA
"1341-1357","Experimental Animals","Molecular and Cell Biology",2014-12-31,0.371244,2013-01-01,1600,NA
"1342-4815","Biocontrol Science","FOOD SCIENCE",2014-12-31,0.181216,2017-05-22,4400,NA
"1349-2543","Ieice Electronics Express","Circuits",2014-12-31,0.100286,2013-01-01,1080,NA
"1349-6476","Sola","",2015-12-31,0.605,2017-05-14,2035,NA
"1352-8661","Magnetic Resonance Materials in Physics, Biology and Medicine",NA,1999-12-31,0.38966,2016-08-11,3000,NA
"1365-182X","Hpb","",2014-12-31,0.933937,2016-08-11,3000,NA
"1365-8050","Discrete Mathematics and Theoretical Computer Science","COMPUTER SCIENCE",2014-12-31,0.677241,2017-05-22,0,NA
